variable,veredicto,pregunta_al_usuario,tipo,n_niveles,pct_nulos_ocupados,pct_nulos_no_ocup,eta2_ocupados,eta2_no_ocupados
sinco_grupo,Directa,¿A cuál de estos 10 grupos se parece más tu ocupación?,categórica,11,0.0,0.0,0.2134,0.0
tiene_contrato_escrito,Directa,¿Tienes contrato por escrito?,numérica,2,24.9,100.0,0.1937,0.0
formalidad,Directa,¿Tu trabajo te da IMSS/ISSSTE y prestaciones?,categórica,4,0.0,0.0,0.1878,0.0
contrato_indefinido,Directa,¿Tu contrato es por tiempo indefinido o temporal?,numérica,2,62.8,100.0,0.1871,0.0
horas_trabajadas,Directa,¿Cuántas horas trabajaste la semana pasada?,numérica,138,0.0,100.0,0.1734,0.0
tam_empresa_grupo,Directa,¿Cuántas personas trabajan donde trabajas tú?,categórica,5,0.0,0.0,0.1676,0.0
clase_empleador,Directa,"¿Trabajas para una empresa privada, el gobierno, u otro?",categórica,5,0.0,0.0,0.1655,0.0
anios_escolaridad,Directa,¿Cuál es el último grado que aprobaste? (nivel + grado),numérica,25,0.0,0.0,0.1501,0.0966
sector_agrupado,Directa,¿En qué sector trabajas? (8 opciones),categórica,10,0.0,0.0,0.1453,0.0
jornada,Directa,¿Cuántas horas trabajas a la semana? (parcial / completa / más de 48),categórica,4,0.0,0.0,0.1363,0.0
posicion_ocupacion,Directa,"En tu trabajo, ¿eres empleado, patrón, trabajas por tu cuenta o sin pago?",categórica,6,0.0,0.0,0.121,0.0
tamanio_localidad,Directa,"¿Vives en una ciudad grande, una ciudad media, un pueblo o una zona rural?",categórica,4,0.0,0.0,0.1,0.0568
hijos_sobrevivientes,Directa,¿Cuántos hijos tienes?,numérica,20,68.7,42.8,0.0581,0.0195
es_mujer,Directa,¿Cuál es tu sexo?,numérica,2,0.0,0.0,0.0442,0.0414
es_jefe_hogar,Directa,¿Eres la persona principal responsable de tu hogar?,numérica,2,0.0,0.0,0.0432,0.1473
se_considera_indigena,Directa,¿Te consideras indígena?,numérica,2,0.0,0.0,0.0408,0.0157
habla_lengua_indigena,Directa,¿Hablas alguna lengua indígena?,numérica,2,0.0,0.0,0.0396,0.0126
edad,Directa,¿Cuántos años tienes?,numérica,88,0.0,0.0,0.0331,0.1259
integrantes_hogar,Directa,¿Cuántas personas viven en tu hogar?,numérica,19,0.0,0.0,0.0153,0.0568
lugar_nacimiento,Directa,¿Naciste en el estado donde vives ahora?,categórica,4,0.0,0.0,0.0142,0.0143
situacion_conyugal,Directa,¿Cuál es tu situación conyugal?,categórica,6,0.0,0.0,0.0078,0.0473
tiene_discapacidad,Directa,¿Tienes alguna discapacidad o dificultad severa?,numérica,2,0.0,0.0,0.0054,0.0014
asiste_a_escuela,Directa,¿Estás estudiando actualmente?,numérica,2,0.0,0.0,0.0016,0.0242
n_trabajos,Directa,¿Cuántos trabajos tienes?,numérica,3,0.0,0.0,0.0013,0.0
