columna,bloque,descripcion,tipo,pct_nulos,n_categorias
foliohog,Identificador,Identificador del hogar dentro de la vivienda,str,0.0,
folioviv,Identificador,Identificador de la vivienda,str,0.0,
numren,Identificador,Número de renglón (persona) dentro del hogar,str,0.0,
entidad,Diseño muestral,Clave de entidad federativa (tabla poblacion),str,0.0,
est_dis,Diseño muestral,Estrato de diseño muestral,str,0.0,
factor,Diseño muestral,Factor de expansión. NO es variable predictora,int64,0.0,
upm,Diseño muestral,Unidad primaria de muestreo (conglomerado). Usar para agrupar en el split,str,0.0,
ingreso_mensual,TARGET,"Ingreso corriente MONETARIO mensual de la persona, en pesos de ago-2024",float64,0.0,
log_ingreso_mensual,TARGET,Logaritmo natural de ingreso_mensual,float64,0.0,
ingreso_mensual_laboral,TARGET alternativo,Ingreso mensual por trabajo (sueldos + negocios + menores),float64,0.0,
ing_mens_negocios,Componente,P068-P081: ganancias de negocios propios por tipo de actividad,float64,0.0,
ing_mens_otros,Componente,P049: otros ingresos corrientes,float64,0.0,
ing_mens_rentas,Componente,"P023-P031: alquileres, intereses, regalías",float64,0.0,
ing_mens_sueldos_salarios,Componente,"P001-P022: sueldos, destajo, horas extra, comisiones, aguinaldo, utilidades",float64,0.0,
ing_mens_trabajo_menores,Componente,P067: ingreso por trabajo de menores de 12 años,float64,0.0,
ing_mens_transferencias,Componente,"P032-P048 y P101-P108: jubilaciones, becas, remesas, programas sociales, donativos",float64,0.0,
edad,Persona,Edad en años cumplidos,int64,0.0,
es_afrodescendiente,Persona,1 si se autoadscribe como afrodescendiente,int8,0.0,
es_jefe_hogar,Persona,1 si es jefe(a) del hogar,int8,0.0,
es_migrante_interno,Persona,1 si nació fuera de la entidad de residencia,int8,0.0,
es_mujer,Persona,1 si es mujer,int8,0.0,
habla_lengua_indigena,Persona,1 si habla alguna lengua indígena,int8,0.0,
hijos_sobrevivientes,Persona,Número de hijos sobrevivientes (sólo mujeres 12+),float64,62.89,
lugar_nacimiento,Persona,Entidad o país de nacimiento,str,0.0,
n_dificultades,Persona,Número de dominios con mucha dificultad o imposibilidad (0-8),int8,0.0,
parentesco_grupo,Persona,"Parentesco con la jefatura del hogar, agrupado",str,0.0,
se_considera_indigena,Persona,1 si se autoadscribe como indígena,int8,0.0,
sexo,Persona,Sexo declarado,str,0.0,
situacion_conyugal,Persona,Situación conyugal,str,0.0,
tiene_discapacidad,Persona,1 si tiene al menos una dificultad severa,int8,0.0,
vive_en_pareja,Persona,1 si vive en pareja (unión libre o casado/a),int8,0.0,
anios_escolaridad,Educación,"Años de escolaridad reconstruidos (nivelaprob x gradoaprob, criterio CONEVAL)",float64,0.0,
asiste_a_escuela,Educación,1 si asiste actualmente a la escuela,int8,0.0,
nivel_educativo,Educación,"Nivel de instrucción aprobado, agrupado en 6 categorías",str,0.0,
sabe_leer_escribir,Educación,1 si es alfabeta,int8,0.0,
actividad_no_ocupado,Trabajo,Actividad principal de quien no trabajó,str,77.51,
clase_empleador,Trabajo,Tipo de unidad económica donde trabaja,str,0.0,
contrato_indefinido,Trabajo,1 si el contrato es de base o por tiempo indeterminado,Int8,71.16,
cotiza_seguridad_social,Trabajo,1 si contribuye a la seguridad social,Int8,0.0,
empleo_formal,Trabajo,Proxy de formalidad: el trabajo da acceso a una institución pública de salud,Int8,22.49,
horas_trabajadas,Trabajo,Horas trabajadas a la semana en el trabajo principal,float64,22.49,
n_prestaciones,Trabajo,Número de prestaciones laborales (0-19),Int8,22.49,
n_trabajos,Trabajo,Número de trabajos declarados,int8,0.0,
ocupado,Trabajo,Igual a trabajo_mes_pasado; bandera de universo,int8,0.0,
posicion_ocupacion,Trabajo,Subordinado / empleador / cuenta propia / sin pago / NO_APLICA,str,0.0,
scian,Trabajo,Actividad económica SCIAN a 4 dígitos,str,0.0,
scian_sector,Trabajo,Sector económico SCIAN a 2 dígitos,str,0.0,
sin_prestaciones,Trabajo,1 si declaró no tener prestaciones,Int8,22.49,
sinco,Trabajo,Ocupación SINCO-2011 a 4 dígitos,str,0.0,
sinco_grupo,Trabajo,Gran grupo ocupacional SINCO a 1 dígito,str,0.0,
tam_empresa,Trabajo,"Tamaño del establecimiento, escala ordinal 1-11",float64,24.22,
tiene_contrato_escrito,Trabajo,1 si tiene contrato por escrito,Int8,41.8,
tiene_socios,Trabajo,1 si el negocio tiene socios,Int8,83.79,
tiene_trabajo_principal,Trabajo,1 si tiene registro de trabajo principal,int8,0.0,
tiene_trabajo_secundario,Trabajo,1 si además reporta un trabajo secundario,int8,0.0,
tipo_actividad_negocio,Trabajo,Tipo de actividad del negocio (independientes),str,0.0,
trabaja_en_mexico,Trabajo,1 si el trabajo se realiza en el país,Int8,22.49,
trabajo_mes_pasado,Trabajo,1 si trabajó el mes pasado,int8,0.0,
cve_entidad,Geografía,Clave INEGI de entidad federativa (2 dígitos),str,0.0,
cve_municipio,Geografía,Clave INEGI de municipio (5 dígitos),str,0.0,
entidad_nombre,Geografía,Nombre de la entidad federativa,str,0.0,
es_rural,Geografía,"1 si la localidad tiene menos de 2,500 habitantes",int8,0.0,
estrato_socioeconomico,Geografía,Estrato socioeconómico de la manzana,str,0.0,
municipio_nombre,Geografía,Nombre del municipio,str,0.0,
region,Geografía,"Macro-región (convención del proyecto, 5 clases)",str,0.0,
tamanio_localidad,Geografía,Tamaño de la localidad,str,0.0,
adultos_mayores_hogar,Hogar,Integrantes de 65 años o más,int64,0.0,
clase_hogar,Hogar,Clase de hogar,str,0.0,
edad_jefe,Hogar,Edad de la jefatura del hogar,int64,0.0,
educacion_jefe,Hogar,Nivel educativo de la jefatura del hogar,str,0.0,
integrantes_hogar,Hogar,Total de integrantes del hogar,int64,0.0,
jefe_mujer,Hogar,1 si la jefatura del hogar es femenina,int8,0.0,
menores_hogar,Hogar,Integrantes menores de 12 años,int64,0.0,
ocupados_hogar,Hogar,Integrantes ocupados,int64,0.0,
perceptores_hogar,Hogar,"Integrantes con ingreso (conteo, no monto)",int64,0.0,
n_automoviles,Hogar (activos),Número de automóviles,int64,0.0,
tiene_celular,Hogar (activos),1 si el hogar tiene teléfono celular,int8,0.0,
tiene_computadora,Hogar (activos),1 si el hogar tiene computadora o laptop,int8,0.0,
tiene_internet,Hogar (activos),1 si el hogar tiene conexión a internet,int8,0.0,
tiene_tarjeta_credito,Hogar (activos),1 si algún integrante tiene tarjeta de crédito,int8,0.0,
agua_entubada_dentro,Vivienda,1 si tiene agua entubada dentro de la vivienda,int8,0.0,
drenaje_publico,Vivienda,1 si tiene drenaje conectado a la red pública,int8,0.0,
hacinamiento,Vivienda,Residentes por cuarto,float64,0.0,
material_piso,Vivienda,Material predominante en pisos,str,0.0,
num_cuartos,Vivienda,Número de cuartos,int64,0.0,
num_dormitorios,Vivienda,Número de cuartos usados como dormitorio,int64,0.0,
residentes_vivienda,Vivienda,Total de residentes de la vivienda,int64,0.0,
tenencia_vivienda,Vivienda,Tenencia de la vivienda,str,0.0,
tiene_electricidad,Vivienda,1 si dispone de energía eléctrica,int8,0.0,
tipo_vivienda,Vivienda,Tipo de vivienda,str,0.08,
es_adulto,Bandera,1 si edad >= 18,int8,0.0,
outlier_ingreso,Bandera,1 si el ingreso supera el percentil 99.9 ponderado,int8,0.0,
tiene_ingreso,Bandera,1 si ingreso_mensual > 0,int8,0.0,
