upm,particion
0000001,test
0000002,train
0000003,train
0000004,test
0000005,train
0000006,train
0000007,train
0000008,train
0000009,test
0000010,train
0000011,test
0000012,train
0000013,validation
0000014,train
0000015,test
0000016,train
0000017,train
0000018,train
0000019,train
0000020,test
0000021,train
0000022,train
0000023,train
0000024,test
0000025,validation
0000026,train
0000027,validation
0000028,train
0000029,train
0000030,test
0000031,train
0000032,test
0000033,validation
0000034,test
0000035,train
0000036,test
0000037,test
0000038,train
0000039,validation
0000040,test
0000041,train
0000042,train
0000043,train
0000044,train
0000045,validation
0000046,train
0000047,validation
0000048,test
0000049,train
0000050,train
0000051,test
0000052,train
0000053,validation
0000054,train
0000055,train
0000056,train
0000057,validation
0000058,train
0000059,train
0000060,train
0000061,train
0000062,train
0000063,train
0000064,test
0000065,validation
0000066,train
0000067,validation
0000068,validation
0000069,train
0000070,train
0000071,train
0000072,train
0000073,validation
0000074,train
0000075,validation
0000076,train
0000077,test
0000078,train
0000079,validation
0000080,train
0000081,test
0000082,train
0000083,train
0000084,validation
0000085,train
0000086,train
0000087,train
0000088,validation
0000089,test
0000090,train
0000091,train
0000092,train
0000093,test
0000094,test
0000095,validation
0000096,test
0000097,test
0000098,train
0000099,train
0000100,train
0000101,train
0000102,test
0000103,train
0000104,test
0000105,validation
0000106,validation
0000107,test
0000108,test
0000109,test
0000110,train
0000111,train
0000112,train
0000113,train
0000114,train
0000115,train
0000116,validation
0000117,train
0000118,train
0000119,train
0000120,test
0000121,validation
0000122,train
0000123,validation
0000124,train
0000125,validation
0000126,validation
0000127,train
0000128,train
0000129,validation
0000130,train
0000131,validation
0000132,test
0000133,train
0000134,train
0000135,train
0000136,test
0000137,train
0000138,validation
0000139,validation
0000140,train
0000141,train
0000142,train
0000143,train
0000144,train
0000145,test
0000146,train
0000147,train
0000148,train
0000149,train
0000150,test
0000151,train
0000152,validation
0000153,train
0000154,train
0000155,validation
0000156,train
0000157,train
0000158,test
0000159,train
0000160,train
0000161,train
0000162,train
0000163,train
0000164,train
0000165,train
0000166,validation
0000167,validation
0000168,test
0000169,train
0000170,test
0000171,train
0000172,train
0000173,train
0000174,train
0000175,train
0000176,train
0000177,train
0000178,train
0000179,train
0000180,train
0000181,train
0000182,train
0000183,train
0000184,train
0000185,train
0000186,test
0000187,validation
0000188,train
0000189,train
0000190,train
0000191,train
0000192,train
0000193,train
0000194,validation
0000195,validation
0000196,train
0000197,train
0000198,train
0000199,train
0000200,train
0000201,train
0000202,train
0000203,train
0000204,train
0000205,validation
0000206,validation
0000207,validation
0000208,train
0000209,train
0000210,train
0000211,test
0000212,train
0000213,test
0000214,train
0000215,train
0000216,validation
0000217,test
0000218,test
0000219,validation
0000220,train
0000221,validation
0000222,validation
0000223,test
0000224,validation
0000225,train
0000226,train
0000227,train
0000228,test
0000229,validation
0000230,train
0000231,train
0000232,validation
0000233,train
0000234,train
0000235,train
0000236,train
0000237,train
0000238,train
0000239,train
0000240,test
0000241,train
0000242,train
0000243,train
0000244,validation
0000245,train
0000246,test
0000247,train
0000248,train
0000249,test
0000250,train
0000251,train
0000252,test
0000253,test
0000254,train
0000255,train
0000256,train
0000257,train
0000258,train
0000259,train
0000260,test
0000261,validation
0000262,validation
0000263,train
0000264,test
0000265,train
0000266,test
0000267,train
0000268,test
0000269,train
0000270,validation
0000271,validation
0000272,train
0000273,train
0000274,validation
0000275,test
0000276,validation
0000277,train
0000278,train
0000279,train
0000280,train
0000281,train
0000282,validation
0000283,train
0000284,validation
0000285,train
0000286,train
0000287,test
0000288,validation
0000289,train
0000290,train
0000291,test
0000292,test
0000293,test
0000294,test
0000295,train
0000296,test
0000297,train
0000298,train
0000299,validation
0000300,train
0000301,train
0000302,train
0000303,train
0000304,test
0000305,test
0000306,train
0000307,validation
0000308,train
0000309,validation
0000310,train
0000311,train
0000312,test
0000313,train
0000314,validation
0000315,train
0000316,test
0000317,test
0000318,train
0000319,test
0000320,train
0000321,train
0000322,test
0000323,train
0000324,test
0000325,validation
0000326,train
0000327,train
0000328,train
0000329,train
0000330,train
0000331,test
0000332,validation
0000333,train
0000334,test
0000335,validation
0000336,test
0000337,train
0000338,validation
0000339,train
0000340,train
0000341,train
0000342,train
0000343,train
